Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,metric,n_neighbors,weights,,std_test_score,std_train_score
3,1,0.541393102,1,euclidean,15,distance,,0.019306785,0
3,1,0.541393102,1,minkowski,15,distance,,0.019306785,0
3,3,0.539908956,1,euclidean,17,distance,,0.018359874,0
3,3,0.539908956,1,minkowski,17,distance,,0.018359874,0
3,5,0.539049563,1,euclidean,19,distance,,0.017538417,0
3,5,0.539049563,1,minkowski,19,distance,,0.017538417,0
3,7,0.538965804,1,euclidean,13,distance,,0.020277584,0
3,7,0.538965804,1,minkowski,13,distance,,0.020277584,0
3,9,0.538119095,1,manhattan,17,distance,,0.020534551,0
3,10,0.537941304,0.59740856,euclidean,15,uniform,,0.018905468,0.004677003
3,10,0.537941304,0.59740856,minkowski,15,uniform,,0.018905468,0.004677003
3,12,0.537279766,1,manhattan,15,distance,,0.018561039,0
3,13,0.537126117,1,manhattan,13,distance,,0.020729711,0
3,14,0.536875265,1,chebyshev,15,distance,,0.017095874,0
3,15,0.535878656,1,euclidean,11,distance,,0.019549222,0
3,15,0.535878656,1,minkowski,11,distance,,0.019549222,0
3,17,0.535772545,1,manhattan,19,distance,,0.021878736,0
3,18,0.535746692,0.591440996,euclidean,17,uniform,,0.01772985,0.004164188
3,18,0.535746692,0.591440996,minkowski,17,uniform,,0.01772985,0.004164188
3,20,0.535559772,1,chebyshev,13,distance,,0.02226415,0
3,21,0.535424922,1,chebyshev,11,distance,,0.020401154,0
3,22,0.535313363,0.605205529,euclidean,13,uniform,,0.020182058,0.005522404
3,22,0.535313363,0.605205529,minkowski,13,uniform,,0.020182058,0.005522404
3,24,0.535265562,1,chebyshev,17,distance,,0.017165174,0
3,25,0.535125597,0.605054184,manhattan,13,uniform,,0.020909317,0.00707228
3,26,0.534891157,0.588942184,manhattan,17,uniform,,0.020323088,0.00528373
3,27,0.534654602,1,manhattan,11,distance,,0.019166496,0
3,28,0.534467105,0.596721173,manhattan,15,uniform,,0.018083426,0.006049104
3,29,0.534400612,0.584568654,euclidean,19,uniform,,0.016287968,0.003704059
3,29,0.534400612,0.584568654,minkowski,19,uniform,,0.016287968,0.003704059
3,31,0.533409432,1,chebyshev,19,distance,,0.016771778,0
3,32,0.533181272,0.615464561,manhattan,11,uniform,,0.01914594,0.004781262
3,33,0.53312472,1,euclidean,9,distance,,0.017162956,0
3,33,0.53312472,1,minkowski,9,distance,,0.017162956,0
3,35,0.532722019,0.615347784,euclidean,11,uniform,,0.019209845,0.006523422
3,35,0.532722019,0.615347784,minkowski,11,uniform,,0.019209845,0.006523422
3,37,0.532539182,0.591489133,chebyshev,15,uniform,,0.016692974,0.00367825
3,38,0.53239183,0.608759852,chebyshev,11,uniform,,0.02048536,0.005997773
3,39,0.531579098,0.59878768,chebyshev,13,uniform,,0.022757504,0.005190963
3,40,0.531256751,0.582659152,manhattan,19,uniform,,0.021791029,0.004544354
3,41,0.531087083,0.629403047,euclidean,9,uniform,,0.016467273,0.005480126
3,41,0.531087083,0.629403047,minkowski,9,uniform,,0.016467273,0.005480126
3,43,0.53011223,0.584862915,chebyshev,17,uniform,,0.016495568,0.002986387
3,44,0.529844877,1,chebyshev,9,distance,,0.019378274,0
3,45,0.528125657,1,manhattan,9,distance,,0.015053195,0
3,46,0.527540485,0.579669325,chebyshev,19,uniform,,0.016084523,0.003390351
3,47,0.527195234,0.62121909,chebyshev,9,uniform,,0.019454632,0.005938633
3,48,0.52665347,0.629484651,manhattan,9,uniform,,0.01461458,0.004079789
3,49,0.524255927,1,euclidean,7,distance,,0.017607672,0
3,49,0.524255927,1,minkowski,7,distance,,0.017607672,0
3,51,0.522525739,0.648691681,euclidean,7,uniform,,0.016751134,0.005108224
3,51,0.522525739,0.648691681,minkowski,7,uniform,,0.016751134,0.005108224
3,53,0.521942911,1,manhattan,7,distance,,0.018506363,0
3,54,0.521235532,0.648213117,manhattan,7,uniform,,0.019512419,0.003768644
3,55,0.520649924,1,chebyshev,7,distance,,0.020922917,0
3,56,0.518346645,0.639625476,chebyshev,7,uniform,,0.021721413,0.006262032
3,57,0.511019,1,euclidean,5,distance,,0.018778622,0
3,57,0.511019,1,minkowski,5,distance,,0.018778622,0
3,59,0.51083102,0.675684211,euclidean,5,uniform,,0.01714598,0.00566025
3,59,0.51083102,0.675684211,minkowski,5,uniform,,0.01714598,0.00566025
3,61,0.50608409,1,chebyshev,5,distance,,0.024032856,0
3,62,0.505730124,0.678746765,manhattan,5,uniform,,0.020404026,0.006195326
3,63,0.505195652,1,manhattan,5,distance,,0.021405395,0
3,64,0.50475368,0.669552878,chebyshev,5,uniform,,0.024893365,0.007734692
3,65,0.471957701,0.739313491,euclidean,3,uniform,,0.019074472,0.005170342
3,65,0.471957701,0.739313491,minkowski,3,uniform,,0.019074472,0.005170342
3,67,0.471368998,1,euclidean,3,distance,,0.021050873,0
3,67,0.471368998,1,minkowski,3,distance,,0.021050873,0
3,69,0.468805998,0.735377568,chebyshev,3,uniform,,0.017311053,0.009572223
3,70,0.467179131,1,chebyshev,3,distance,,0.01706708,0
3,71,0.455837112,0.738890661,manhattan,3,uniform,,0.02577603,0.006077375
3,72,0.454545427,1,manhattan,3,distance,,0.026610681,0
3,73,0.423914235,0.809524921,euclidean,2,uniform,,0.020612921,0.004667563
3,73,0.423914235,0.809524921,minkowski,2,uniform,,0.020612921,0.004667563
3,75,0.420585281,1,euclidean,2,distance,,0.021193305,0
3,75,0.420585281,1,minkowski,2,distance,,0.021193305,0
3,77,0.406702314,0.798995632,chebyshev,2,uniform,,0.029773346,0.00461321
3,78,0.404606751,1,chebyshev,2,distance,,0.028183631,0
3,79,0.39386656,0.808936568,manhattan,2,uniform,,0.030999131,0.004602694
3,80,0.393195362,1,manhattan,2,distance,,0.032643924,0
3,81,0.229243933,1,euclidean,1,uniform,,0.024280274,0
3,81,0.229243933,1,euclidean,1,distance,,0.024280274,0
3,81,0.229243933,1,minkowski,1,uniform,,0.024280274,0
3,81,0.229243933,1,minkowski,1,distance,,0.024280274,0
3,85,0.22888943,1,manhattan,1,uniform,,0.057761439,0
3,85,0.22888943,1,manhattan,1,distance,,0.057761439,0
3,87,0.211057615,1,chebyshev,1,uniform,,0.022456694,0
3,87,0.211057615,1,chebyshev,1,distance,,0.022456694,0